"ObjectID","Mapped","Crash Date","City/Town","Address","AOT Route","Crash Type","Collision Direction","Weather","Road Group","Report Number","Reporting Agency","Road Group ID","AOT Actual Milepoint","Animal","Time of Day","Intersection With","Impairment","Involving","Non Reportable Address","Reporting Agency ID","Road Characteristics","Road Condition","Street Address","Surface Condition","AOT Route ID","Coordinates"
"627","","December 3, 2015, 8:00 PM","Waitsfield","VT-100 (1252 Route 100)","VT-100","Property Damage Only","Single Vehicle Crash","Rain","State System (State Highways and Class I TH links)","15MV009738","DMV Enforcement","1","6.82","Deer","Day","Meadow Rd.","None","None","","VTDMV0004","Not at a Junction","None","VT-100 (1252 Route 100)","Wet","1000","44.225531860811266,-72.78735709379048"
"6754","","December 4, 2015, 7:11 AM","Jay","","VT-105","Property Damage Only","Single Vehicle Crash","Freezing Precipitation","State System (State Highways and Class I TH links)","15B204208","VSP - B2 Derby","1","5.16","Moose","Night","Leavitt Circle","None","None","","VTVSP0800","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","","Snow","1050","44.979295859970186,-72.48212860903827"
"498","","December 4, 2015, 9:29 AM","Leicester","2604 US Route 7","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15C203761","VSP - C2 New Haven","1","2.58","Deer","Night","Fern Lake Road","None","None","","VTVSP0600","Not at a Junction","None","2604 US Route 7","Dry","0070","43.88140570888321,-73.10420216150011"
"1934","","December 4, 2015, 1:30 PM","Hartland","I 91 S","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15D304711","VSP - D3 Royalton","1","64.6","Deer","Night","MM64/6","None","None","","VTVSP1100","Not at a Junction","None","I 91 S","Dry","0910","43.58230414654088,-72.3796212578258"
"2063","","December 5, 2015, 5:24 AM","Williston","5244 St George Road","VT-2A","Property Damage Only","Head On","Cloudy","State System (State Highways and Class I TH links)","15WT05122","Williston PD.","1","0.73","Deer","Day","5244 St George Road","None","None","","VT0041000","Not at a Junction","None","5244 St George Road","Dry","0021","44.408185935964916,-73.12515867001599"
"2218","","December 5, 2015, 6:17 AM","West Rutland","US Route 4 Exit 6","US-4","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15C106624","VSP - C1 Rutland","1","15.24","Deer","Day","Exit 6 Off Ramp","None","None","","VTVSP0300","Not at a Junction","None","US Route 4 Exit 6","Dry","0040","43.589790021899304,-73.03396074799467"
"2156","","December 5, 2015, 9:51 AM","Castleton","Route 4A East","VT-4A","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15CT01693","Castleton PD.","1","6.37","Wild","Night","Birdseye Road","None","None","","VT0110300","Y - Intersection","None","Route 4A East","Dry","0041","43.61009694434209,-73.12387002726153"
"15555","","December 6, 2015, 2:09 AM","Berlin","Route 62","VT-62","Property Damage Only","","Unknown","State System (State Highways and Class I TH links)","15BL03221","Berlin PD.","1","999.99","Deer","Day","VAST Trail","None","None","","VT0120600","","","Route 62","","0620","44.216754061011656,-72.54302418094011"
"1405","","December 6, 2015, 6:19 AM","South Burlington","Airport Parkway","AIRPORT PARKWAY","Property Damage Only","Single Vehicle Crash","Unknown","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15SB014542","So. Burlington PD.","2","1.38","Deer","Day","Ethan Allen Drive","None","None","","VT0040300","Not at a Junction","","Airport Parkway","Dry","U5206","44.48537369788669,-73.16256851369533"
"1497","","December 6, 2015, 6:56 AM","Castleton","US Route 4 Westbound","US-4","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15CT01698","Castleton PD.","1","4.99","Deer","Day","Mile Marker 5","None","None","","VT0110300","Not at a Junction","None","US Route 4 Westbound","Dry","0040","43.614896375314345,-73.21562881187577"
"1200","","December 7, 2015, 10:07 AM","Putney","I-91 S","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15D203190","VSP - D2 Brattleboro (VOID)","1","18.75","Deer","Night","MM 18/75","None","None","","VTVSP1000","Not at a Junction","None","I-91 S","Dry","0910","42.96630928771311,-72.50957626530962"
"2875","","December 8, 2015, 12:26 AM","Hartford","Route 4","US-4","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15HF05034","Hartford PD.","1","4.02","Deer","Day","Hathaway Road","None","None","","VT0140300","Not at a Junction","None","Route 4","Dry","0040","43.63767848131176,-72.39342945482633"
"1425","","December 8, 2015, 7:50 AM","Shaftsbury","903 US Rt 7","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15C303813","VSP - C3 Shaftsbury","1","2.79","Deer","Night","Shaftsbury Pull Off","None","None","","VTVSP0900","Not at a Junction","None","903 US Rt 7","Dry","0070","42.96769424811871,-73.16283084548752"
"17425","","December 8, 2015, 9:05 AM","Bennington","US Route 7 North","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15BN07889","Bennington PD.","1","999.99","Deer","Night","Exit 1","None","None","","VT0020100","Not at a Junction","None","US Route 7 North","Dry","0070","42.88228130629183,-73.1976193220494"
"1916","","December 9, 2015, 10:30 AM","Middlebury","Route 7","US-7","Property Damage Only","","Unknown","State System (State Highways and Class I TH links)","15-5378","Middlebury PD.","1","2.18","Deer","Night","2/3 Miles South Of Greystone Motel","None","None","","VT0010200","","","Route 7","","0070","43.98455926822899,-73.13011074295817"
"2873","","December 10, 2015, 7:51 AM","St. Johnsbury","1-91 N MM 133.4","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B103784","VSP - B1 St. Johnsbury","1","133.4","Deer","Night","MM 133.4","None","None","","VTVSP0200","Not at a Junction","None","1-91 N MM 133.4","Dry","0910","44.46616349497489,-72.0235481372026"
"6650","","December 10, 2015, 9:21 AM","Essex","Vt 289 Exit 7 Ramp D","VT-289","Property Damage Only","Other - Explain in Narrative","Clear","Ramp or Spur","15ES07753","Essex PD.","7","0.21","Deer","Night","Vt Rt 2a","None","None","","VT0040200","Not at a Junction","None","Vt 289 Exit 7 Ramp D","Dry","2890","44.5181859349613,-73.12043853196481"
"703","","December 10, 2015, 11:00 AM","Hyde Park","VT RT 15W","VT-15","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15LC005287","Lamoille County SD","1","0.06","Deer","Night","Sterling View Drive","None","None","","VT0080000","T - Intersection","None","VT RT 15W","Dry","0150","44.60846498861752,-72.64560454826382"
"1256","","December 11, 2015, 5:08 AM","Waterford","I91NB, Mm 126/95","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B103798","VSP - B1 St. Johnsbury","1","126.95","Deer","Day","Exit 19 To I93","None","None","","VTVSP0200","Not at a Junction","None","I91NB, Mm 126/95","Dry","0910","44.37796764449513,-72.01985367020133"
"895","","December 11, 2015, 6:45 AM","Waterford","I93SB  MM 7/5","I-93","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B103799","VSP - B1 St. Johnsbury","1","7.5","Deer","Day","Exit 1","None","None","","VTVSP0200","Not at a Junction","None","I93SB  MM 7/5","Dry","0930","44.425877404738074,-71.9545982677364"
"6576","","December 12, 2015, 6:19 AM","Wallingford","Route 7; Clarendon Town Line","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15C106757","VSP - C1 Rutland","1","6.62","Deer","Day","Route 7B S","None","None","","VTVSP0300","Not at a Junction","None","Route 7; Clarendon Town Line","Dry","0070","43.488113889972226,-72.97108783225785"
"2262","","December 12, 2015, 6:23 AM","Colchester","Prim Rd","VT. 127 TH","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15CC012567","Colchester PD.","2","2.2","Deer","Day","W Lakeshore Dr","None","None","","VT0040500","Not at a Junction","None","Prim Rd","Dry","U5600","44.551462449742644,-73.23376031233386"
"1623","","December 12, 2015, 6:47 AM","Ferrisburgh","4550 US Route 7","US-7","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15C203843","VSP - C2 New Haven","1","4.53","Deer","Day","Greenbush Road","None","None","","VTVSP0600","Four-way Intersection","None","4550 US Route 7","Dry","0070","44.225070289931644,-73.23790480758129"
"6512","","December 13, 2015, 5:51 AM","Ryegate","I 91 N","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B302690","VSP - B3 Bradford","1","115.97","Deer","Day","Mile Marker 116","None","None","","VTVSP1300","Not at a Junction","None","I 91 N","Dry","0910","44.238646248214756,-72.06659060534534"
"1061","","December 13, 2015, 6:39 AM","Milton","Middle Road","MIDDLE ROAD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","2015MT008485","Milton PD.","2","0.85","Deer","Day","Whitney Place","None","None","","VT0040600","Shared-use path or trail","None","Middle Road","Dry","U5810","44.59485945692183,-73.12913632195209"
"1358","","December 13, 2015, 11:36 AM","Springfield","500 Chester Road","VT-11","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15SF06426","Springfield PD.","1","1.71","Deer","Night","French Meadow","None","None","","VT0140200","Not at a Junction","None","500 Chester Road","Dry","0110","43.29050089231693,-72.52239289539658"
"1482","","December 14, 2015, 6:46 AM","Craftsbury","FAS-247 (1748 Wild Branch Rd)","WILD BRANCH RD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15B204308","VSP - B2 Derby","3","1.58","Domestic","Day","Denton Hill Rd","None","None","","VTVSP0800","Not at a Junction","Obstruction in roadway","FAS-247 (1748 Wild Branch Rd)","Dry","S0247","44.634392526247886,-72.42148569400848"
"16854","","December 14, 2015, 9:27 AM","Waterford","Interstate 93 North","I-93","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B103834","VSP - B1 St. Johnsbury","1","999.99","Deer","Night","Mile Marker 310","None","None","","VTVSP0200","Not at a Junction","None","Interstate 93 North","Dry","0930","44.38077182911783,-71.92072160672286"
"753","","December 14, 2015, 7:35 PM","Morristown","VT-100 Laporte Rd","VT-100","Property Damage Only","Single Vehicle Crash","Unknown","State System (State Highways and Class I TH links)","15MR004033","Morristown PD.","1","2.45","Deer","Night","Green Mountain Landscaping","None","None","","VT0080100","Not at a Junction","None","VT-100 Laporte Rd","Dry","1000","44.52750711539593,-72.61754877978326"
"6473","","December 15, 2015, 1:30 AM","Vernon","VT-142","VT-142","Property Damage Only","Single Vehicle Crash","Rain","State System (State Highways and Class I TH links)","2015WHC007455","Windham County SD","1","3.47","Domestic","Day","Stebbins Rd","None","None","","VT0130000","T - Intersection","Road Surface Condition(wet, icy, snow, slush, etc)","VT-142","Wet","1420","42.76200645209222,-72.50555098078796"
"2315","","December 16, 2015, 1:00 PM","Vernon","Route 142","VT-142","Property Damage Only","","Unknown","State System (State Highways and Class I TH links)","2015WHC007516","Windham County SD","1","8.09","Deer","","Valley Crane","None","None","","VT0130000","","","Route 142","","1420","42.81572121432623,-72.54726972014801"
"1421","","December 17, 2015, 7:31 AM","Stowe","Pucker St","VT-100","Property Damage Only","Other - Explain in Narrative","Clear","State System (State Highways and Class I TH links)","2015ST004563","Stowe PD.","1","4.67","Deer","Night","1273 Pucker Street","None","None","","VT0080200","Not at a Junction","None","Pucker St","Dry","1000","44.4768177478313,-72.66719810511702"
"553","","December 17, 2015, 9:28 AM","Ryegate","I91NB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B302710","VSP - B3 Bradford","1","112.94","Deer","Night","Mile Marker 112/95","None","None","","VTVSP1300","Not at a Junction","None","I91NB","Dry","0910","44.193935445586874,-72.07232790859389"
"1760","","December 17, 2015, 9:41 PM","Shelburne","Bay Road","BAY ROAD","Property Damage Only","","Unknown","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","15SH02975","Shelburne PD.","2","0.64","Deer","Day","State Fishing Access","None","None","","VT0040700","","","Bay Road","","U5704","44.3985415304596,-73.23499732765728"
"2740","","December 17, 2015, 10:37 PM","Burlington","North Ave","NORTH AVE.","Property Damage Only","Other - Explain in Narrative","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","2015BU036054","Burlington PD","2","2.6","Domestic","Day","Shell Gas Station","None","None","","VT0040100","Not at a Junction","None","North Ave","Dry","U5026","44.510740431551675,-73.24999546782682"
"2663","","December 18, 2015, 5:26 AM","Barre Town","E Barre Rd","US-302","Property Damage Only","Single Vehicle Crash","Rain","State System (State Highways and Class I TH links)","15BT005816","Barre Town PD","1","0.66","Deer","Day","Messier Dr","None","None","","VT0120500","Not at a Junction","None","E Barre Rd","Wet","3020","44.17925702227128,-72.47386033144178"
"21153","","December 18, 2015, 6:23 AM","Hartford","TH-78 Connecticut River Road","TOWN ROAD 0078","Property Damage Only","","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15HF05212","Hartford PD.","6","999.99","Domestic","Day","Sykes Mountain Avenue","None","None","","VT0140300","Not at a Junction","None","TH-78 Connecticut River Road","Dry","T0078","43.64079768781342,-72.32078702660412"
"1780","","December 20, 2015, 8:00 PM","Lyndon","I91 SB","I-91","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15B103957","VSP - B1 St. Johnsbury","1","999.99","Deer","Day","138/6","None","Heavy Truck","","VTVSP0200","Not at a Junction","","I91 SB","","0910",""
"2196","","December 21, 2015, 6:55 PM","Putney","I-91 SB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15D203312","VSP - D2 Brattleboro (VOID)","1","20.1","Deer","Night","MM 20/10","None","None","","VTVSP1000","Not at a Junction","None","I-91 SB","Dry","0910","42.97447879836908,-72.48651395968714"
"2554","","December 21, 2015, 7:31 PM","Sheldon","Route 105","VT-105","Property Damage Only","Single Vehicle Crash","Clear","State System (State Highways and Class I TH links)","15A206014","VSP - A2 St. Albans","1","8.2","Domestic","Night","Box 8223","None","None","","VTVSP0700","Not at a Junction","None","Route 105","Dry","1050","44.91028558263139,-72.876145795849"
"738435","","December 22, 2015, 10:43 AM","Bennington","982 Mansion Drive","Unknown","Property Damage Only","Single Vehicle Crash","Rain","Street or Town Highways in FA Urban Area","15BN08232","Bennington PD.","5","999.99","Deer","Night","Everett Mansion","None","None","","VT0020100","Other - Explain in Narrative","Road Surface Condition(wet, icy, snow, slush, etc)","982 Mansion Drive","Wet","0000","42.87140933452612,-73.21618528130459"
"738796","","December 22, 2015, 8:40 PM","Ryegate","I 91 SB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B103968","VSP - A4 St. Johnsbury","1","999.99","Deer","Day","MM 117","None","None","","VTVSP0200","Not at a Junction","None","I 91 SB","Wet","0910","44.16777553430443,-72.08311569484589"
"738517","","December 24, 2015, 6:25 AM","Barre Town","Middle Rd","TOWN ROAD 0004","Property Damage Only","Single Vehicle Crash","Cloudy","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","15BT005892","Barre Town PD","6","999.99","Deer","Day","Meadow Wood Dr","None","None","","VT0120500","Not at a Junction","None","Middle Rd","Wet","T0004","44.16490456529035,-72.50096391118477"
"629","","December 25, 2015, 6:30 AM","Sheffield","I 91 NB","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State System (State Highways and Class I TH links)","15B104002","VSP - B1 St. Johnsbury","1","146.85","Deer","Day","MM 146/85, Exit 24","None","None","","VTVSP0200","Not at a Junction","None","I 91 NB","Wet","0910","44.62051689125844,-72.1224875207872"
"1945","","December 25, 2015, 9:40 AM","Derby","Darling Hill Road","DARLING HILL RD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","15B204468","VSP - B2 Derby","3","0.64","Deer","Night","Shattuck Hill Road","None","None","","VTVSP0800","Not at a Junction","None","Darling Hill Road","Dry","S0317","44.95758998228951,-72.18350963510174"
"738297","","January 1, 2016, 10:23 AM","Lunenburg","US RTE 2","W LUNENBURG RD","Property Damage Only","Right Turn and Thru, Broadside ^<--","Cloudy","","15EXC0598","Essex CSD","","","Moose","Night","DANCE HALL ROAD","None","None","","VT0050000","T - Intersection","None","US RTE 2","Wet","","44.468847399328816,-71.75696138422911"
"722149","","January 2, 2016, 11:04 AM","Manchester","Depot St","VT-11","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16MC000010","Manchester PD.","10","2.53","Deer","Night","Perfect Wife Driveway","None","None","","VT0020400","Not at a Junction","None","Depot St","Dry","0110","43.17949801790321,-73.01204913549049"
"728868","","January 2, 2016, 10:40 PM","Windsor","I91 MM57/55SB","I-91","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16D100010","VSP - D1 Rockingham (VOID)","10","57.54","Deer","Day","MM57/55","None","None","","VTVSP0400","Not at a Junction","None","I91 MM57/55SB","Dry","0910","43.488381070876365,-72.4074529130233"
"727190","","January 4, 2016, 6:55 AM","Bennington","VT Rt 279 East","VT-279","Property Damage Only","Single Vehicle Crash","Cloudy","State Highway numbered route, State owned","16BN00061","Bennington PD.","10","4.74","Deer","Day","Chapel Road","None","None","","VT0020100","Not at a Junction","None","VT Rt 279 East","Dry","2790","42.901795639543515,-73.18480350814252"
"718729","","January 6, 2016, 12:06 PM","Brattleboro","Marlboro Rd","VT-9","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","State Highway numbered route, State owned","16BB00112","Brattleboro PD.","10","2.67","Deer","Night","Molly Stark Motel","None","None","","VT0130200","Four-way Intersection","None","Marlboro Rd","Dry","0090","42.86726698476564,-72.63243494627672"
"718853","","January 7, 2016, 8:57 AM","Morristown","VT Rt 15","VT-15","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16MR000098","Morristown PD.","10","0.41","Deer","Night","Needles Eye Road","None","None","","VT0080100","Not at a Junction","None","VT Rt 15","Dry","0150","44.58084031652274,-72.59771543395047"
"719318","","January 8, 2016, 7:19 AM","Mt. Holly","892 Tarbellville Rd","TARBELLVILLE RD","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","16C100116","VSP - B4 Rutland","3","0.2","Deer","Night","VT Route 155","None","None","","VTVSP0300","Not at a Junction","None","892 Tarbellville Rd","Dry","S0143","43.409823379474155,-72.83683688879991"
"717813","","January 8, 2016, 11:20 PM","Ryegate","I 91","I-91","Property Damage Only","Single Vehicle Crash","Cloudy","State Highway numbered route, State owned","16B300063","VSP - B3 Bradford (VOID)","10","111.2","Deer","Day","","None","None","","VTVSP1300","Not at a Junction","None","I 91","Dry","0910","44.171356628456785,-72.08272600713896"
"738614","","January 9, 2016, 11:31 PM","Essex","284 COLCHESTER RD","VT-2A","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16ES00156","Essex PD.","10","3.34","Domestic","Day","","None","None","","VT0040200","Not at a Junction","None","284 COLCHESTER RD","Dry","0021","44.52705517423414,-73.1264297004184"
"718746","","January 10, 2016, 6:37 AM","Johnson","VT RT 15W","VT-15","Property Damage Only","Head On","Cloudy","State Highway numbered route, State owned","16LC000102","Lamoille CSD","10","5.49","Deer","Day","Nadeau's Gravel","None","None","","VT0080000","Not at a Junction","None","VT RT 15W","Wet","0150","44.6210927469731,-72.66800766279269"
"718752","","January 11, 2016, 8:10 AM","Brandon","Franklin Street","US-7","Property Damage Only","Single Vehicle Crash","Rain","State Highway numbered route, State owned","2016BD000106","Brandon PD.","10","0","Deer","Night","Brandon/Pittsford Town Line","None","None","","VT0110100","Not at a Junction","None","Franklin Street","Wet","0070","43.755593646303446,-73.0483655426051"
"738834","","January 16, 2016, 8:49 AM","Shaftsbury","3200 US RT 7","US-7","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16C300168","VSP - B3 Shaftsbury","10","999.99","Deer","Night","Buck HIll Rd Overpass","None","None","","VTVSP0900","Not at a Junction","None","3200 US RT 7","Dry","0070","42.98084649091925,-73.15431346051018"
"738234","","January 17, 2016, 7:28 AM","Morristown","572 Walton Road","TOWN ROAD 0023","Property Damage Only","Single Vehicle Crash","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","16MR000245","Morristown PD.","6","999.99","Deer","Night","Cole Hill Road","None","None","","VT0080100","Not at a Junction","None","572 Walton Road","Dry","T0023","44.559152079236036,-72.63897067032808"
"719688","","January 17, 2016, 8:19 AM","Burlington","Beltline","NORTH AVE.","Property Damage Only","No Turns, Thru moves only, Broadside ^<","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","2016BU001440","Burlington PD","2","1.63","Deer","Night","North Ave Exit","None","None","","VT0040100","T - Intersection","None","Beltline","Dry","U5026","44.501043769591,-73.2368608016428"
"719405","","January 19, 2016, 11:34 AM","Northfield","2364 Vt Rte 12 A","VT-12A","Property Damage Only","Single Vehicle Crash","Freezing Precipitation","State Highway numbered route, State owned","16NF00088","Northfield PD.","10","2.14","Deer","Night","Freeman Road","None","None","","VT0120300","Not at a Junction","None","2364 Vt Rte 12 A","Wet","0121","44.11149786023909,-72.68769067497543"
"738314","","January 20, 2016, 9:31 PM","West Windsor","4202 Rush Meadow Rd","TOWN ROAD 0006","Property Damage Only","Single Vehicle Crash","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","16WN00087","Windsor PD.","6","999.99","Deer","Day","Wardner Road","None","None","","VT0140400","Not at a Junction","None","4202 Rush Meadow Rd","Dry","T0006","43.507294935298404,-72.51949421130917"
"720684","","January 21, 2016, 7:39 AM","Ferdinand","","VT-105","Property Damage Only","Single Vehicle Crash","Cloudy","State Highway numbered route, State owned","16B200196","VSP - A5 Derby","10","2.61","Moose","Night","Lewis Pond Rd","None","None","","VTVSP0800","Not at a Junction","Obstruction in roadway","","Snow","1050","44.778425193377814,-71.75307379420146"
"718389","","January 22, 2016, 6:54 AM","Springfield","Skitchewaug Trail","VT-143 TH","Property Damage Only","Single Vehicle Crash","Clear","Federal Aid Secondary System (Class 2 TH)","16SF00327","Springfield PD.","3","4.26","Deer","Day","","None","None","","VT0140200","Not at a Junction","None","Skitchewaug Trail","","S0136","43.31221517403057,-72.4216941004118"
"738414","","January 23, 2016, 10:37 AM","Bennington","879 Gore Road","TOWN ROAD 0054","Property Damage Only","Other - Explain in Narrative","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","16BN00533","Bennington PD.","6","999.99","Deer","Night","","None","None","","VT0020100","Not at a Junction","None","879 Gore Road","Dry","T0054","42.86529302770947,-73.16459491906467"
"738166","","January 25, 2016, 7:54 AM","Stowe","Gilcrist Rd","TOWN ROAD 0058","Property Damage Only","Single Vehicle Crash","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","2016ST000299","Stowe PD.","6","999.99","Deer","Night","","None","None","","VT0080200","Not at a Junction","Road Surface Condition(wet, icy, snow, slush, etc)","Gilcrist Rd","Snow","T0058","44.44884485852464,-72.6767055835418"
"718429","","January 26, 2016, 1:45 AM","Hartford","VT Rt 14","VT-14","Property Damage Only","","","State Highway numbered route, State owned","16HF00424","Hartford PD.","10","1.73","Deer","Day","Dothan Rd","None","None","","VT0140300","","","VT Rt 14","","0140","43.663369454407466,-72.34944451380308"
"724630","","January 26, 2016, 10:20 AM","Weathersfield","","VT-131","Property Damage Only","Head On","","State Highway numbered route, State owned","16EC00045","Weathersfield PD.","10","4.8","Deer","Night","Mill Pond Rd.","None","None","","VT0140800","Not at a Junction","None","","Dry","1310","43.42260418650922,-72.47191306211845"
"718349","","January 27, 2016, 7:17 AM","Bennington","East Road","EAST RD.","Property Damage Only","Other - Explain in Narrative","Clear","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","16BN00605","Bennington PD.","2","0.07","Deer","Night","Kocher Drive","None","None","","VT0020100","Not at a Junction","None","East Road","Dry","U1021","42.894831328736416,-73.19328404274722"
"738300","","January 27, 2016, 1:00 PM","Springfield","Fairgrounds Rd","TOWN ROAD 0029","Property Damage Only","Head On","Clear","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","16SF00406","Springfield PD.","6","999.99","Deer","","","None","None","","VT0140200","Not at a Junction","None","Fairgrounds Rd","Dry","T0029","43.30316408317037,-72.49608177853165"
"720174","","January 29, 2016, 5:52 PM","Bennington","Vermont Route 7N","US-7","Property Damage Only","Other - Explain in Narrative","Clear","State Highway numbered route, State owned","16BN00682","Bennington PD.","10","6.04","Deer","Night","Exit 2","None","None","","VT0020100","Not at a Junction","None","Vermont Route 7N","Dry","0070","42.9183111869369,-73.20781165280754"
"738371","","January 29, 2016, 7:46 PM","Colchester","Mill Pond Road","MILL POND ROAD","Property Damage Only","Single Vehicle Crash","Cloudy","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","16CC001034","Colchester PD.","2","999.99","Deer","Night","","None","None","","VT0040500","Not at a Junction","None","Mill Pond Road","Dry","U5614","44.533075377729745,-73.15181109283023"
"724690","","January 31, 2016, 11:00 AM","Stamford","2395 VT Rte 100","VT-100","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16BNC000391","Bennington CSD","10","2.44","Deer","Night","Clough Road","None","None","","VT0020000","Not at a Junction","None","2395 VT Rte 100","Dry","1000","42.76983358097272,-73.0523599409768"
"738780","","February 2, 2016, 12:37 PM","Milton","","I-89","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16A100553","VSP - A1 Williston","10","999.99","Deer","Night","Exit 18","None","None","","VTVSP0100","Not at a Junction","None","","Dry","0890","44.65838582500332,-73.13827231813865"
"738206","","February 3, 2016, 7:00 AM","Essex","I 289 Eb","VT-289","Property Damage Only","Single Vehicle Crash","Cloudy","State Highway numbered route, State owned","16ES00607","Essex PD.","10","999.99","Deer","Night","Ledges","None","None","","VT0040200","Not at a Junction","None","I 289 Eb","Dry","2890","44.51357381272551,-73.10091974250437"
"738713","","February 4, 2016, 6:44 AM","Essex","99 Old Stage Rd","OLD STAGE RD.","Property Damage Only","Other - Explain in Narrative","Rain","Federal Aid Urban System (Class 2 TH's and 3 TH's only)","16ES00620","Essex PD.","2","1.04","Deer","Day","","None","None","","VT0040200","Not at a Junction","None","99 Old Stage Rd","Wet","U5409","44.52424012368789,-73.07885916314157"
"720409","","February 5, 2016, 3:30 AM","Thetford","VT Route 113","VT-113","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16TF00043","Thetford PD.","10","7.9","Deer","Day","Berger Rd","None","None","","VT0090400","","","VT Route 113","","1130","43.81319340825987,-72.19964684583599"
"728145","","February 6, 2016, 11:50 AM","Barton","US Route 5","US-5","Property Damage Only","Single Vehicle Crash","Clear","State Highway numbered route, State owned","16B200400","VSP - A5 Derby","10","9.67","Deer","Night","3753 US Route 5","None","None","","VTVSP0800","Not at a Junction","None","US Route 5","Dry","0050","44.79638046853146,-72.21095151253522"
"738680","","February 7, 2016, 12:11 PM","Stowe","Stowe Hollow Rd","TOWN ROAD 0003","Property Damage Only","Single Vehicle Crash","Cloudy","City, Village or Urban Compact Street not in FA Urban Area (Class 2 and 3 Non-Federal Aid)","2016ST000433","Stowe PD.","6","999.99","Deer","Night","","None","None","","VT0080200","Not at a Junction","None","Stowe Hollow Rd","Dry","T0003","44.44371176951446,-72.67302191453498"
